name,website,category,country,founded,product_count,product_count_method,has_physical_or_retailer_signal,has_linkedin_presence,has_careers_page,has_linkedin_or_careers,linkedin_evidence,careers_page,ships_international,linkedin_employees,hiring_manager_on_linkedin,social_media,legitimacy_notes,inclusion_confidence,data_confidence,meets_strict_criteria
AKYN,https://akyn.com,Clothing,UK,2024-2025,143,shopify_products.json pages=1,No,Yes,No,Yes,hiring_manager_on_linkedin=Yes,Unknown,Unknown,Unknown,Yes,Unknown,Amy Powney regenerative womenswear,medium,medium,Partial
Albaray,https://albaray.co.uk,Clothing,UK,2021,835,shopify_products.json pages=4,No,Yes,No,Yes,linkedin_employees=8; hiring_manager_on_linkedin=Yes,Unknown,Unknown,8,Yes,LinkedIn albaray; Instagram @albaray,"Co-founders Paula Stewart, Karen Peacock, Kirstie Di Stazio",medium,medium,Yes
Aligne,https://aligne.co,Clothing,UK,2020,290,shopify_products.json pages=2,No,Yes,No,Yes,linkedin_employees=17; hiring_manager_on_linkedin=Yes,Unknown,Yes,17,Yes,IG @aligne,Well-known UK DTC; viral Daphne blazer; East London female-led womenswear; founder Dalbir Bains (press),medium,medium,Partial
Bikini Bible,https://bikini-bible.com,Clothing,UK,2021,102,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=2; hiring_manager_on_linkedin=Yes; LI company/bikini-bible,None found,Yes,2,Yes,LI company/bikini-bible,Sustainable swimwear London,medium,high,No
Bluebella,https://www.bluebella.com,Clothing,UK,2010,1118,shopify_products.json pages=5,No,Yes,No,Yes,hiring_manager_on_linkedin=Yes,Unknown,Yes,Unknown,Yes,Instagram @bluebella,Founder Emily Bendell; London contemporary lingerie,medium,medium,No
Debute,https://debute.co.uk,Clothing,UK,2024,33,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=6; hiring_manager_on_linkedin=Yes,Unknown,Unknown,6,Yes,LinkedIn debute,ELLE Brit brands; LinkedIn lists Jazola Limited; founders Lola Bute & Jazzy De Lisser; London HQ,medium,low,Yes
Gutsy Fashion,https://www.gutsy.fashion,Clothing,Netherlands,2019,74,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=1,Unknown,Partial,1,Unknown,Instagram @gutsy.fashion,Handmade-to-order Dutch label.,medium,medium,Yes
Hedoine,https://hedoine.com,Mixed,UK,2017,60,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_mention_in_notes_or_social,Unknown,Yes,Unknown,Unknown,Instagram @hedoine; LinkedIn hedoine,Founders Anna Sturhahn & Alexandra Popa; London accessories/tights,medium,medium,No
Joonbyrd,https://joonbyrd.com,Beauty,UK,2024 (co. 2022),57,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=8; hiring_manager_on_linkedin=Yes; LI company/joonbyrd,None found,Partial,8,Yes,IG @joonbyrd; LI company/joonbyrd,CH 13863516 Active,medium,high,Yes
Lico Cosmetics,https://licocosmetics.com,Beauty,Spain,2020,66,shopify_products.json pages=1,No,Yes,No,Yes,linkedin_employees=~39,Unknown,Partial,~39,Unknown,Unknown,Spanish online-only skincare; Lanzadera-backed.,medium,medium,Yes
